Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR,playerid
Brad Keller,Royals,7,14,0,28,28,165.1,6.64,3.81,0.82,0.282,72.20%,50.00%,10.20%,4.19,4.35,4.94,2.2,15734
Adam Wainwright,Cardinals,14,10,0,31,31,171.2,8.02,3.36,1.15,0.319,76.50%,48.80%,15.00%,4.19,4.36,4.39,2.2,2233
Joey Lucchesi,Padres,10,10,0,30,30,163.2,8.69,3.08,1.26,0.271,73.00%,47.00%,13.90%,4.18,4.17,4.36,2.1,19320
Merrill Kelly,Diamondbacks,13,14,0,32,32,183.1,7.76,2.8,1.42,0.292,73.10%,42.00%,14.80%,4.42,4.51,4.58,2,11156
Ivan Nova,White Sox,11,12,0,34,34,187,5.49,2.26,1.44,0.322,72.80%,46.10%,15.80%,4.72,4.98,4.91,2,1994
Brett Anderson,Athletics,13,9,0,31,31,176,4.6,2.51,1.02,0.278,74.80%,54.50%,13.30%,3.89,4.57,4.79,2,8223
Wade Miley,Astros,14,6,0,33,33,167.1,7.53,3.28,1.24,0.287,74.30%,49.70%,15.20%,3.98,4.51,4.52,2,8779
Tanner Roark,- - -,10,10,0,31,31,165.1,8.6,2.78,1.52,0.322,78.10%,36.20%,15.50%,4.35,4.67,4.64,2,8753
Martin Perez,Twins,10,7,0,32,29,165.1,7.35,3.65,1.25,0.316,67.60%,48.00%,15.00%,5.12,4.66,4.69,1.9,6902
Rick Porcello,Red Sox,14,12,0,32,32,174.1,7.38,2.32,1.6,0.308,65.70%,38.10%,13.10%,5.52,4.76,5.14,1.8,2717
Mike Fiers,Athletics,15,4,0,33,33,184.2,6.14,2.58,1.46,0.254,78.50%,39.90%,13.80%,3.9,4.97,5.19,1.7,7754
Julio Teheran,Braves,10,11,0,33,33,174.2,8.35,4.28,1.13,0.266,76.60%,39.00%,11.20%,3.81,4.66,5.26,1.6,6797
Jakob Junis,Royals,9,14,0,31,31,175.1,8.42,2.98,1.59,0.318,70.30%,42.40%,16.70%,5.24,4.82,4.63,1.5,13619
Zach Eflin,Phillies,10,13,0,32,28,163.1,7.11,2.64,1.54,0.291,73.90%,44.60%,16.00%,4.13,4.85,4.76,1.5,13774
Jeff Samardzija,Giants,11,12,0,32,32,181.1,6.95,2.43,1.39,0.24,76.90%,36.40%,12.60%,3.52,4.59,5.02,1.5,3254
Dakota Hudson,Cardinals,16,7,1,33,32,174.2,7.01,4.43,1.13,0.274,78.10%,56.90%,19.80%,3.35,4.93,4.55,1,19206
Mike Leake,- - -,12,11,0,32,32,197,5.8,1.23,1.87,0.295,72.60%,46.80%,18.20%,4.29,5.19,4.76,1,10130
